gene_name_canonical,organelle,source,Note
LRRC59,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
LSS,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
MBOAT7,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
MGST2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
MINPP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
MOGS,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
MOSPD2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
MSMO1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
MTDH,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
MXRA7,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
NCEH1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
NPTX1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
NSDHL,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
NUP210,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ODR4,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
OS9,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
P3H1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
P4HA1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
P4HB,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PCSK9,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PCYOX1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PEX6,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PGRMC1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PGRMC2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PIGK,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PIGO,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PIGS,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PIGT,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PIGU,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PKMYT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PLOD1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PLOD3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
POGLUT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PON2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
POR,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PPIB,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PRDX4,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PRKCSH,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PRSS21,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PTDSS1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PTDSS2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PTPN1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PXDN,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
RCE1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
RDH10,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
RDH11,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
RETSAT,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
RFT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
RPN1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
RPN2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
RUSF1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SACM1L,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SCARB1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SDF2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SEC11A,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SEC61B,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SEC61G,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SERPINI1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SGPL1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SGPP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SIGMAR1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SLC27A2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SLC27A4,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SLC33A1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SOAT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SPCS2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SPCS3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SPTLC1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SPTLC2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SRP54,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SRPRB,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SSR1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
STIM1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
STT3A,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SUMF2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TAP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TAP2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TAPBP,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TBL2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TECR,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TEX264,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TGFB1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
THEM6,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TMEM109,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TMEM164,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TMEM205,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TMEM214,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TMEM245,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TMEM43,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TMEM97,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TMX1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TMX2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TMX3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TOR1A,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TOR1AIP2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TOR3A,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TYW1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
UBAC2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
UBE2G2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
UFSP2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
UGGT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
USE1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
VAPB,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
VKORC1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
VKORC1L1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
VMP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
VRK2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
WLS,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
XXYLT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ZMPSTE24,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ERGIC1,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: high
ERGIC2,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: high
GLE1,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: high
IER3IP1,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: high
LMAN2L,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: high
MCFD2,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: high
RAB1A,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: high
RAB1B,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: high
SURF4,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: high
TMED5,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: high
TMEM181,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: high
TSPAN13,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: high
BET1,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ERP44,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GOLT1B,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GOSR2,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: very high
KDELR2,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: very high
LMAN2,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SPRYD7,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: very high
STX5,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TMED10,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TMED2,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TMED3,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TMED4,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: very high
TMED9,ERGIC,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ERGIC3,ERGIC,manual curation,canonical ERGIC marker
LMAN1,ERGIC,manual curation,canonical ERGIC marker (ERGIC53)
ARCN1,ERGIC,manual curation,COP-I complex
COPA,ERGIC,manual curation,COP-I complex
COPB1,ERGIC,manual curation,COP-I complex
COPB2,ERGIC,manual curation,COP-I complex
COPE,ERGIC,manual curation,COP-I complex
COPG1,ERGIC,manual curation,COP-I complex
COPG2,ERGIC,manual curation,COP-I complex
COPZ1,ERGIC,manual curation,COP-I complex
COPZ2,ERGIC,manual curation,COP-I complex
SEC23A,ERGIC,manual curation,COP-II complex
SEC23B,ERGIC,manual curation,COP-II complex
SEC24A,ERGIC,manual curation,COP-II complex
SEC24B,ERGIC,manual curation,COP-II complex
SEC24C,ERGIC,manual curation,COP-II complex
SEC24D,ERGIC,manual curation,COP-II complex
SEC31A,ERGIC,manual curation,COP-II complex
SEC31B,ERGIC,manual curation,COP-II complex
ACSL4,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
AIFM2,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
ARFRP1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
B4GALT1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
BSDC1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
GOLM2,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
DUT,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
GALNT2,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
GARS1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
GLT8D1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
KIAA2013,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
MAN1B1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
MBLAC2,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
MGAT1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
NIF3L1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
PREPL,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
PRKCA,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
PRKACB,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
SGMS1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
SLC35E1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
TM9SF1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
TM9SF2,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
TM9SF3,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
TM9SF4,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
TMEM165,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
TNS1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
TRMU,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
UBIAD1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
ZFPL1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: high
CANT1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: very high
EXTL2,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: very high
FAM20B,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GALNT1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GALNT6,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GALNT7,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GLT8D2,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GOLGB1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GOLIM4,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: very high
BPNT2,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: very high
MAN2A1,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: very high
QSOX2,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SLC30A5,Golgi,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ACP2,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
ACP5,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
AGA,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
GET3,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
ARSB,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
ARSG,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
ASAH1,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
CLN5,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
CREG1,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
CTBS,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
CTSA,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
CTSB,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
CTSC,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
CTSD,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
CTSF,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
CTSH,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
CTSK,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
CTSL,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
CTSO,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
CTSS,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
CTSZ,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
DNASE2,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
EPDR1,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
FUCA1,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
GAA,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
GALC,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
GALNS,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
GBA1,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
GGH,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
GLA,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
GLB1,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
GM2A,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
GNS,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
GUSB,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
HEXA,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
HEXB,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
HYAL1,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
IDS,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
IDUA,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
IFI30,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
IL4I1,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
LGMN,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
LIPA,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
MAN2B1,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
MANBA,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
MPO,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
NAGA,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
NAGLU,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
NEU1,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
NEU4,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
NPC2,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
PLA2G15,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
PLBD2,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
PPT1,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
PPT2,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
PRCP,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
PSAP,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
RNASET2,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
SCPEP1,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
SGSH,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
SIAE,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
SMPD1,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
TPP1,lysosome,Schroeder et al 2010 PMID: 20957757,meta-analysis
TOMM20,mitochondria,manual curation,TOMM complex subunit ommited in mitocarta
TOMM70,mitochondria,manual curation,TOMM complex subunit ommited in mitocarta
ABCB7,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ABCB8,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ABHD11,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ACAA2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ACAD10,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ACAD8,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ACADL,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ACADM,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ACADS,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ACADSB,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ACADVL,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ACAT1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ACO2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ACSF3,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ADCK5,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ADHFE1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
AFG1L,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
AFG3L2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
AIFM1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
AK4,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ALAS1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ALDH2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ALDH4A1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ALDH6A1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ALDH9A1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ALKBH7,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
APOOL,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ATP5F1A,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ATP5F1B,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ATP5F1C,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ATP5F1D,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ATP5F1E,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ATP5IF1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ATP5ME,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ATP5PB,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ATP5PF,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ATP5PO,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ATPAF2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
AUH,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
BCKDHA,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
BCKDHB,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
BCKDK,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
BCS1L,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
BDH1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
BPHL,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
C1QBP,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
C6orf136,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
CBR4,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
CCDC90B,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
CHCHD10,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
CHCHD3,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
CLPB,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
CLPP,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
CLPX,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
CMC1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
CMC2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COA6,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COQ10A,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COQ10B,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COQ3,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COQ4,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COQ5,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COQ6,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COQ7,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COQ8A,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COQ9,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COX11,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COX14,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COX15,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COX17,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COX4I1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COX5A,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COX5B,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COX6A1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COX6B1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COX6C,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COX7A1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COX7A2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
COX7C,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
CPT2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
CRAT,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
CS,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
CYC1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
CYCS,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
DLGAP3,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
DBT,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
DECR1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
DHTKD1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
DLAT,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
DLD,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
DLST,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
DNAJA3,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
DNAJC11,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ECH1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ECHDC2,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ECHDC3,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ECHS1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ERAL1,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ETFA,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ETFB,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
ETFDH,mitochondria,MitoCarta 3.0 PMID: 33174596,using score >20; meta-analysis
