Protein IDs,Compartment,Gene names,Normalized Map profiles,Fraction MAP1_01K,Fraction MAP1_03K,Fraction MAP1_06K,Fraction MAP1_12K,Fraction MAP1_24K,Fraction MAP1_80K,Fraction MAP2_01K,Fraction MAP2_03K,Fraction MAP2_06K,Fraction MAP2_12K,Fraction MAP2_24K,Fraction MAP2_80K,Fraction MAP3_01K,Fraction MAP3_03K,Fraction MAP3_06K,Fraction MAP3_12K,Fraction MAP3_24K,Fraction MAP3_80K,SVM predictions,Actin binding proteins,ER,Endosome,Ergic/ cisGolgi,Golgi,Large Protein Complex,Lysosome,Mitochondrion,Nuclear pore complex,Peroxisome,Plasma membrane,Protein IDs,Compartment Marker,Gene names,PredictionMax probability,Prediction Winner,Multiple Prediction Winners?,Classification,Confidence
A0A1B0GUJ8,undefined,PNMA8C,,0.14791316,0.184980302,0.28523511,0.202658799,0.035752545,0.143460085,0.276062504,0.149774216,0.129262104,0.141053742,0.239249355,0.064598079,0.320135414,0.116817886,0.093572585,0.307966063,0.073862442,0.087645612,,0.025310466,0.045582257,0.254066439,0.01537877,0.041960439,0.166631813,0.040835742,0.265918677,0.018618939,0.012421322,0.113275134,A0A1B0GUJ8, ,PNMA8C,0.266,Mitochondrion,no,,Best Guess
Q8IY82,undefined,DRC7,,0.119721561,0.231870841,0.172278667,0.299998575,0.115563504,0.060566852,0.177667952,0.132783745,0.459089753,0.054341766,0.08849031,0.087626474,0.080995871,0.216836965,0.289779064,0.195572234,0.145242186,0.071573681,,0.018781356,0.130206586,0.142264958,0.015822616,0.092255645,0.102364741,0.07522334,0.265260403,0.010496739,0.017638798,0.129684818,Q8IY82, ,DRC7,0.265,Mitochondrion,no,,Best Guess
Q7RTV3,undefined,ZNF367,,0.236713135,0.207228126,0.137889168,0.164742062,0.152981735,0.100445776,0.132027726,0.141256937,0.12507172,0.107377095,0.421488513,0.072778011,0.134366387,0.244742691,0.208319059,0.153669907,0.177669125,0.081232831,,0.024742932,0.025052044,0.116343624,0.013411282,0.042973195,0.221357154,0.02173724,0.264682457,0.009408829,0.008319274,0.251971969,Q7RTV3, ,ZNF367,0.265,Mitochondrion,no,,Best Guess
P78545,undefined,ELF3,,0.24327788,0.222291748,0.142414488,0.200427183,0.051087512,0.140501188,0.107749846,0.20192868,0.362465773,0.144112176,0.089471888,0.094271636,0.14193656,0.256048551,0.070932279,0.251425334,0.182702346,0.096954929,,0.060442087,0.030577202,0.112314583,0.014240238,0.048480694,0.16369322,0.024558295,0.264269498,0.009227874,0.010276842,0.261919467,P78545, ,ELF3,0.264,Mitochondrion,no,,Best Guess
Q5T5X7,undefined,BEND3,,0.342924576,0.062921993,0.199507884,0.251832881,0.094362903,0.048449763,0.295524362,0.097932746,0.213694318,0.151817113,0.089928205,0.151103257,0.27439047,0.098696462,0.226984597,0.107113347,0.147976864,0.14483826,,0.019627132,0.051736384,0.210796789,0.013731523,0.038589943,0.234727754,0.0404214,0.26382565,0.052428162,0.01254267,0.061572592,Q5T5X7, ,BEND3,0.264,Mitochondrion,no,,Best Guess
Q15323,undefined,KRT31,,0.100712819,0.150126455,0.217829899,0.406593677,0.058800382,0.065936769,0.113521799,0.285279266,0.325578717,0.165260885,0.041433637,0.068925696,0.279355897,0.113440038,0.089361133,0.364262928,0,0.153580004,,0.016877104,0.081997603,0.193116109,0.014881452,0.036547489,0.16879434,0.110809636,0.259607916,0.013337713,0.015321304,0.088709334,Q15323, ,KRT31,0.260,Mitochondrion,no,,Best Guess
Q7L4P6,undefined,BEND5,,0.088520599,0.128329115,0.36987125,0.1106292,0.097867769,0.204782068,0.15316269,0.229929527,0.357176454,0.095084087,0.069066304,0.095580938,0.157988862,0.081940621,0.122652559,0.371396647,0.120056857,0.145964454,,0.016501588,0.087280953,0.177757767,0.017818378,0.037255239,0.220484066,0.047671078,0.259466963,0.011265495,0.018508906,0.105989566,Q7L4P6, ,BEND5,0.259,Mitochondrion,no,,Best Guess
Q9NWR8,undefined,MCUB,,0.089358989,0.228180662,0.282370179,0.130343664,0.165967504,0.103779001,0.142102104,0.318077839,0.236687737,0.086141749,0.147297133,0.069693438,0.074532169,0.283879,0.14852882,0.238104429,0.064952646,0.190002936,,0.043501431,0.020013855,0.023174917,0.019543674,0.241596715,0.239639989,0.011497926,0.256221192,0.006509709,0.005507196,0.132793396,Q9NWR8, ,MCUB,0.256,Mitochondrion,no,,Best Guess
Q9BZC7,undefined,ABCA2,,0.031990476,0.060793938,0.159890056,0.135474914,0.062493822,0.549356795,0.189126237,0.125857187,0.221836082,0.18181852,0.100306225,0.181055749,0.153521588,0.121156157,0.253717536,0.242500068,0.099335691,0.12976896,,0.015331651,0.036635502,0.135605626,0.013673395,0.036480475,0.245277103,0.032331502,0.255376956,0.011938464,0.011067918,0.20628141,Q9BZC7, ,ABCA2,0.255,Mitochondrion,no,,Best Guess
Q9Y689,undefined,ARL5A,,0.169427779,0.152550607,0.326375465,0.081355983,0.085477619,0.184812548,0.351742747,0.085667199,0.240200066,0.270425156,0.003937131,0.0480277,0.007762542,0.107451993,0.258785184,0.265767775,0.213276105,0.146956401,,0.015552043,0.075809625,0.237796299,0.014675387,0.033870633,0.220378201,0.039639421,0.253538197,0.013070752,0.01674022,0.078929223,Q9Y689, ,ARL5A,0.254,Mitochondrion,no,,Best Guess
Q99536,undefined,VAT1,,0.045142553,0.235553229,0.350409184,0.141159379,0.103948662,0.123786994,0.05253324,0.243343655,0.28702103,0.160539635,0.12303825,0.133524191,0.052197623,0.206377565,0.307393766,0.15792957,0.132604482,0.143496993,,0.018625467,0.104487166,0.032531031,0.131731247,0.242166247,0.092808845,0.029168735,0.250499105,0.010937632,0.018019227,0.069025297,Q99536, ,VAT1,0.250,Mitochondrion,no,,Best Guess
Q9NZI7,undefined,UBP1,,0.339482672,0.200967799,0.136633616,0.143907581,0.119915533,0.059092801,0.276667383,0.247200134,0.212328963,0.140377773,0.083062302,0.040363445,0.241183602,0.242329827,0.164635405,0.137321912,0.085140909,0.129388345,,0.234877403,0.041374984,0.07220547,0.012283758,0.032157801,0.104024838,0.030492398,0.244806624,0.041990572,0.013031363,0.17275479,Q9NZI7, ,UBP1,0.245,Mitochondrion,no,,Best Guess
Q96RE7,undefined,NACC1,,0.337595496,0.109969987,0.179928564,0.17150759,0.128522175,0.072476188,0.290053391,0.103071112,0.212597292,0.176157772,0.147150073,0.07097036,0.307648375,0.124821247,0.186961742,0.189111742,0.120807915,0.07064898,,0.027874253,0.048258994,0.199299486,0.015437378,0.040714211,0.165623691,0.038717821,0.235846107,0.125050083,0.014561228,0.088616747,Q96RE7, ,NACC1,0.236,Mitochondrion,no,,Best Guess
P50402,undefined,EMD,,0.281204621,0.163562758,0.266920323,0.196968195,0.066515708,0.024828395,0.232488433,0.18561213,0.277922388,0.201435136,0.070280649,0.032261263,0.271352492,0.154854475,0.27515326,0.203595974,0.067814648,0.027229151,,0.033358526,0.210359413,0.177356788,0.01229465,0.038187394,0.042024968,0.053813042,0.234520257,0.035680125,0.01955495,0.142849888,P50402, ,EMD,0.235,Mitochondrion,no,,Best Guess
Q16760,undefined,DGKD,,0.091774136,0.340602339,0.240447712,0.13620868,0.107611792,0.083355341,0.11612379,0.154560871,0.221234014,0.185614357,0.12215608,0.200310888,0.193642729,0.191055075,0.166297162,0.202739948,0.191675034,0.054590052,,0.121155192,0.026186152,0.087985531,0.083602158,0.087234102,0.150455769,0.021603345,0.226928165,0.011055676,0.009820299,0.173973611,Q16760, ,DGKD,0.227,Mitochondrion,no,,Best Guess
Q6P444,undefined,MTFR2,,0.067354394,0.262472748,0.226183465,0.290585153,0.15340424,0,0.181111415,0.33103245,0.169352903,0.062764009,0.162252311,0.093486913,0.089291153,0.120413613,0.117322179,0.458537229,0.125748746,0.08868708,,0.020560102,0.045994649,0.206638309,0.016173156,0.047505359,0.217746331,0.043877426,0.22682863,0.012997807,0.010077997,0.151600233,Q6P444, ,MTFR2,0.227,Mitochondrion,no,,Best Guess
P29590,undefined,PML,,0.335015734,0.178207419,0.170126747,0.166871817,0.08535436,0.064423924,0.310295221,0.14031059,0.19418135,0.160097752,0.080891025,0.114224061,0.224100001,0.185448843,0.173597401,0.18490168,0.10033958,0.131612496,,0.066676478,0.051678028,0.153547178,0.014109054,0.037105253,0.205309667,0.035347391,0.205483857,0.066814481,0.013806847,0.150121766,P29590, ,PML,0.205,Mitochondrion,no,,Best Guess
P51587,undefined,BRCA2,,0.135765977,0.460496,0.083198235,0.078344249,0.168538146,0.073657394,0.232781611,0.191572756,0.145529815,0.143006458,0.187986259,0.099123101,0.157903833,0.237573107,0.184513294,0.242085743,0.117163925,0.060760098,,0.146720296,0.030469769,0.106711712,0.015721551,0.097497038,0.188932604,0.029940168,0.197390768,0.014904384,0.011420954,0.160290755,P51587, ,BRCA2,0.197,Mitochondrion,no,,Best Guess
P15586,Lysosome,GNS,,0.023141079,0.115828871,0.35231596,0.333856055,0.09615477,0.078703265,0.024259767,0.115387751,0.373976245,0.329810793,0.093354339,0.063211105,0.031501129,0.109047131,0.37787145,0.312228075,0.100997328,0.068354888,,0.001971071,0.002179495,0.039653735,0.001799529,0.002957089,0.001653904,0.938315264,0.002169572,0.002274788,0.005640281,0.00138527,P15586,Lysosome,GNS,0.938,Lysosome,no,Lysosome,High
Q8NHP8,Lysosome,PLBD2,,0.02688339,0.119147441,0.354181331,0.338618631,0.098360473,0.062808733,0.033805243,0.114206432,0.401258322,0.314847184,0.083167968,0.052714851,0.022766851,0.112427264,0.376158557,0.335473719,0.099581106,0.053592503,,0.002194016,0.002864671,0.043787567,0.001843198,0.003306122,0.001723793,0.928738122,0.00268706,0.002500754,0.008776824,0.001577873,Q8NHP8,Lysosome,PLBD2,0.929,Lysosome,no,Lysosome,High
P07686,Lysosome,HEXB,,0.023459547,0.118533514,0.381023853,0.346107526,0.082839771,0.048035788,0.024991938,0.108623704,0.406553913,0.339024763,0.081737216,0.039068467,0.026741633,0.121468732,0.400156636,0.321460277,0.086917537,0.043255186,,0.002565802,0.003525375,0.04241419,0.002342903,0.003933102,0.002453969,0.925215166,0.003508321,0.002735732,0.0090502,0.00225524,P07686,Lysosome,HEXB,0.925,Lysosome,no,Lysosome,High
O00754,Lysosome,MAN2B1,,0.025080736,0.123226005,0.374161824,0.358161837,0.081935182,0.037434416,0.025911205,0.122169926,0.399313175,0.336542581,0.081164743,0.03489837,0.043408717,0.106407636,0.387175842,0.335917715,0.085010589,0.042079501,,0.002476938,0.00375996,0.040847542,0.002161233,0.003638191,0.002143709,0.924087495,0.003346418,0.002668055,0.012818983,0.002051476,O00754,Lysosome,MAN2B1,0.924,Lysosome,no,Lysosome,High
P11117,Lysosome,ACP2,,0.025001475,0.102783581,0.382674523,0.3700434,0.076011809,0.043485212,0.036151749,0.10989105,0.399384018,0.316977819,0.088632974,0.04896239,0.02246884,0.108369946,0.39919431,0.338342299,0.085329807,0.046294798,,0.00279176,0.002719436,0.04604331,0.002272012,0.004189751,0.002600919,0.924002674,0.004240627,0.003015368,0.006206709,0.001917434,P11117,Lysosome,ACP2,0.924,Lysosome,no,Lysosome,High
P10253,Lysosome,GAA,,0.047333386,0.105957246,0.39239233,0.344569318,0.071364351,0.03838337,0.038998947,0.125039517,0.387926111,0.323608283,0.083138604,0.041288538,0.030531711,0.121460005,0.410396065,0.294969368,0.084376564,0.058266287,,0.002126316,0.00624224,0.04176087,0.001848055,0.003081157,0.001808919,0.922545088,0.002608892,0.002385512,0.013797337,0.001795615,P10253,Lysosome,GAA,0.923,Lysosome,no,Lysosome,High
P07602,Lysosome,PSAP,,0.022113122,0.125027582,0.358708444,0.351243013,0.089004119,0.053903722,0.02417391,0.129433233,0.353800469,0.336086968,0.106324724,0.050180697,0.029217321,0.126397401,0.403228507,0.292926756,0.091563683,0.056666332,,0.00229599,0.005500804,0.047715644,0.002028906,0.003510497,0.00208704,0.917728748,0.002942933,0.002589012,0.011369127,0.002231299,P07602,Lysosome,PSAP,0.918,Lysosome,no,Lysosome,High
Q13510,Lysosome,ASAH1,,0.042433029,0.124296213,0.339300738,0.341825437,0.092545772,0.059598812,0.034882653,0.102423007,0.374023912,0.31353487,0.111451699,0.063683859,0.088319252,0.121275802,0.376249767,0.234403913,0.096997691,0.082753575,,0.001716504,0.008937604,0.0421974,0.001944685,0.002938197,0.001829386,0.916563944,0.001980164,0.00202376,0.018004705,0.00186365,Q13510,Lysosome,ASAH1,0.917,Lysosome,no,Lysosome,High
Q9NUM4,undefined,TMEM106B,,0.034487867,0.108615065,0.352521692,0.336568991,0.102850813,0.064955573,0.029880799,0.147956842,0.364688963,0.297977568,0.097520247,0.061975582,0.034017927,0.109336066,0.377731296,0.313254111,0.104952656,0.060707944,,0.001818705,0.00510634,0.052296451,0.001575845,0.002662663,0.001290992,0.915735026,0.001963614,0.002196123,0.013991257,0.001362983,Q9NUM4, ,TMEM106B,0.916,Lysosome,no,Lysosome,High
Q9UBR2,Lysosome,CTSZ,,0.018806639,0.10622226,0.374220434,0.328024432,0.105507271,0.067218964,0.019725037,0.109783411,0.369254471,0.337136352,0.103269251,0.060831479,0.022546163,0.110130178,0.380738311,0.335373622,0.097617548,0.053594178,,0.002510251,0.002428332,0.05955936,0.002258804,0.003864545,0.002472289,0.913399884,0.003382437,0.002739313,0.005419261,0.001965524,Q9UBR2,Lysosome,CTSZ,0.913,Lysosome,no,Lysosome,High
P11279,Lysosome,LAMP1,,0.02341312,0.098142919,0.34803316,0.357351922,0.102414915,0.070643963,0.030553677,0.108780317,0.351742068,0.342291342,0.10379025,0.062842346,0.023682121,0.097482532,0.382075591,0.334412836,0.104642854,0.057704066,,0.002768631,0.001894135,0.062809505,0.002298571,0.004184919,0.002666194,0.910417129,0.00416008,0.003011391,0.003952744,0.001836701,P11279,Lysosome,LAMP1,0.910,Lysosome,no,Lysosome,High
Q14108,Lysosome,SCARB2,,0.020546921,0.107137123,0.41549991,0.351570783,0.071825018,0.033420245,0.02114519,0.10719468,0.411045555,0.342200487,0.081846919,0.036567169,0.029061215,0.117152311,0.427858003,0.295911612,0.086975988,0.043040871,,0.003106965,0.004562999,0.051717879,0.003089618,0.004962982,0.003890818,0.90947931,0.005126656,0.003165379,0.007871665,0.003025729,Q14108,Lysosome,SCARB2,0.909,Lysosome,no,Lysosome,High
P61916,Lysosome,NPC2,,0.025762006,0.119436866,0.405855013,0.324811248,0.088257153,0.035877714,0.026198727,0.126149773,0.389465583,0.329832205,0.082355922,0.045997791,0.032300223,0.123159712,0.426509583,0.301470046,0.079237337,0.037323099,,0.002552852,0.007579467,0.050665257,0.002436086,0.003939921,0.002777607,0.904358231,0.003571073,0.002745304,0.016749439,0.002624764,P61916,Lysosome,NPC2,0.904,Lysosome,no,Lysosome,High
Q9UHA4,Lysosome,LAMTOR3,,0.018095089,0.101432888,0.320450502,0.373028727,0.108005166,0.078987629,0.019472664,0.098163754,0.365583905,0.330761198,0.101112731,0.084905749,0.020248737,0.059224657,0.389592196,0.316070493,0.13745019,0.077413728,,0.003781296,0.002428222,0.055696823,0.003390749,0.006237719,0.006380632,0.903669447,0.008179562,0.004048958,0.00394789,0.002238702,Q9UHA4,Lysosome,LAMTOR3,0.904,Lysosome,no,Lysosome,High
Q9UHL4,undefined,DPP7,,0.038118062,0.111909247,0.360145868,0.366170308,0.085428278,0.038228236,0.039968637,0.128433166,0.405462424,0.316240864,0.075686756,0.034208153,0.031840455,0.126941093,0.364432777,0.349853517,0.086947623,0.039984535,,0.00260434,0.005615244,0.051250775,0.002064063,0.003811329,0.002274366,0.902329029,0.003809317,0.002867939,0.021176675,0.002196921,Q9UHL4, ,DPP7,0.902,Lysosome,no,Lysosome,High
P07339,Lysosome,CTSD,,0.02421121,0.13663515,0.398214567,0.31782745,0.072722147,0.050389478,0.026848869,0.127258086,0.370480542,0.340093347,0.083562319,0.051756837,0.030117856,0.132442242,0.375555069,0.320770654,0.097115795,0.043998384,,0.002147654,0.009116386,0.0472876,0.002034732,0.003203211,0.002223091,0.900140936,0.002715665,0.002429109,0.026254367,0.00244725,P07339,Lysosome,CTSD,0.900,Lysosome,no,Lysosome,High
P13473,Lysosome,LAMP2,,0.022833165,0.108747953,0.362456765,0.376411064,0.087349541,0.042201513,0.014213261,0.104049302,0.39481685,0.342274776,0.098501848,0.046143962,0.020776969,0.091359368,0.442746225,0.298679104,0.104670187,0.041768147,,0.003974046,0.003554895,0.055659449,0.003577063,0.006590399,0.005835228,0.899303692,0.008311054,0.00401876,0.005930527,0.003244887,P13473,Lysosome,LAMP2,0.899,Lysosome,no,Lysosome,High
P07858,Lysosome,CTSB,,0.020298508,0.11515111,0.412846217,0.342095493,0.075171902,0.034436771,0.018806764,0.121791913,0.41110853,0.342676197,0.076326676,0.029289921,0.021020978,0.110156333,0.415518792,0.336361027,0.085574762,0.031368108,,0.003412224,0.005113079,0.059215492,0.003332644,0.005388416,0.004435873,0.894496248,0.005997627,0.003438151,0.011754855,0.00341539,P07858,Lysosome,CTSB,0.894,Lysosome,no,Lysosome,High
O43567,undefined,RNF13,,0.04960452,0.114598578,0.406716877,0.312146775,0.075665335,0.041267915,0.035029259,0.125516331,0.41493732,0.313359816,0.068069505,0.04308777,0.034699245,0.125196817,0.426256318,0.278841273,0.090820499,0.044185848,,0.002454829,0.011825406,0.045642679,0.00240749,0.003901879,0.002938593,0.89396743,0.003515122,0.002687227,0.028132665,0.002526681,O43567, ,RNF13,0.894,Lysosome,no,Lysosome,High
P42785,Lysosome,PRCP,,0.032936588,0.123841832,0.402557078,0.335683072,0.060841303,0.044140127,0.04404957,0.145206856,0.3818135,0.328165327,0.066233249,0.034531498,0.039331986,0.132721622,0.3993986,0.304088225,0.072610407,0.051849161,,0.002271738,0.013923052,0.035197033,0.002010213,0.003248382,0.002415854,0.892993624,0.003047476,0.00255699,0.040087461,0.002248177,P42785,Lysosome,PRCP,0.893,Lysosome,no,Lysosome,High
P10619,Lysosome,CTSA,,0.016940513,0.116371636,0.422187256,0.332835165,0.072726787,0.038938643,0.020273052,0.115930247,0.42021967,0.335627957,0.072449863,0.035499212,0.021939426,0.113717946,0.451134747,0.292955649,0.081306341,0.03894589,,0.003540566,0.006432983,0.059060235,0.003690109,0.005853835,0.005443318,0.891382356,0.006571522,0.003552923,0.010683215,0.003788938,P10619,Lysosome,CTSA,0.891,Lysosome,no,Lysosome,High
P38571,Lysosome,LIPA,,0.035602835,0.127980049,0.354214778,0.342249513,0.087066353,0.052886473,0.029476733,0.154730574,0.379753221,0.296785176,0.087242026,0.05201227,0.031099712,0.127433225,0.37146109,0.306866105,0.109152429,0.053987439,,0.001853243,0.012530935,0.043433055,0.001655055,0.002744314,0.00161929,0.889192694,0.002148835,0.00223403,0.040802399,0.001786149,P38571,Lysosome,LIPA,0.889,Lysosome,no,Lysosome,High
P13284,Lysosome,IFI30,,0.011740618,0.081050953,0.360360055,0.401054882,0.057405447,0.088388045,0.04431609,0.133905939,0.326463062,0.355995152,0.088895539,0.050424217,0.033644893,0.135518098,0.344497177,0.319683943,0.124529318,0.042126572,,0.003723036,0.003913925,0.068718027,0.002942587,0.005856916,0.00477208,0.886620684,0.007788447,0.00401148,0.008334669,0.003318149,P13284,Lysosome,IFI30,0.887,Lysosome,no,Lysosome,High
P04062,Lysosome,GBA,,0.024974123,0.13094063,0.415321392,0.336627114,0.066230352,0.02590639,0.030797924,0.123623224,0.427085282,0.315387479,0.071463628,0.031642463,0.033242091,0.1338274,0.422510347,0.307214071,0.077737172,0.02546892,,0.003015352,0.012081941,0.05324321,0.003029689,0.004830575,0.004113563,0.880512172,0.005012191,0.003140493,0.027620663,0.003400152,P04062,Lysosome,GBA,0.881,Lysosome,no,Lysosome,High
Q8IV08,undefined,PLD3,,0.031272932,0.118993296,0.399069703,0.354266866,0.067003367,0.029393836,0.032462397,0.13385056,0.417057642,0.314212244,0.075398761,0.027018397,0.03287669,0.120601468,0.402304988,0.355819033,0.060480792,0.027917029,,0.003419644,0.008384153,0.06114039,0.003066913,0.005243024,0.004368968,0.875325792,0.006145336,0.003538337,0.026065517,0.003301928,Q8IV08, ,PLD3,0.875,Lysosome,no,Lysosome,High
P53634,Lysosome,CTSC,,0.012335847,0.116283988,0.410462538,0.362090977,0.069946522,0.028880129,0.017637517,0.125697119,0.409348713,0.344360376,0.069193465,0.033762811,0.01587086,0.124858643,0.467004037,0.282281118,0.081081743,0.028903598,,0.004413525,0.008365004,0.069137075,0.00446519,0.007455527,0.008034573,0.866658004,0.010004834,0.00432924,0.011989072,0.005147955,P53634,Lysosome,CTSC,0.867,Lysosome,no,Lysosome,High
O15118,Lysosome,NPC1,,0.039916833,0.136951823,0.341892594,0.326539545,0.094980987,0.059718217,0.042275776,0.12485038,0.375852876,0.311887826,0.093754729,0.051378413,0.052388838,0.1044126,0.355179624,0.346152116,0.096434291,0.045432531,,0.001948336,0.006722452,0.076192602,0.001748387,0.002746875,0.001465457,0.862645427,0.00226099,0.002274861,0.040180825,0.001813787,O15118,Lysosome,NPC1,0.863,Lysosome,no,Lysosome,High
Q8IY95,undefined,TMEM192,,0.026844806,0.115109493,0.372967145,0.393005036,0.07416666,0.01790686,0.010721859,0.124994224,0.399387094,0.360629814,0.08405207,0.020214939,0.024359772,0.104577741,0.374329669,0.372810569,0.090347349,0.0335749,,0.004825398,0.005877106,0.077371373,0.004208815,0.007904496,0.007702237,0.857977076,0.012048012,0.004715577,0.012513871,0.004856039,Q8IY95, ,TMEM192,0.858,Lysosome,no,Lysosome,High
Q9H3U5-5,undefined,MFSD1,,0.019503555,0.080786579,0.386716568,0.341303329,0.102765498,0.068924471,0.009822448,0.127535304,0.385343303,0.33216071,0.075553446,0.069584788,0,0.060917175,0.360517258,0.402775242,0.110224411,0.065565914,,0.005478227,0.004701841,0.073506584,0.004540983,0.009314487,0.012054011,0.856843076,0.016375966,0.005511652,0.007651949,0.004021224,Q9H3U5-5, ,MFSD1,0.857,Lysosome,no,Lysosome,High
Q8NCC3,undefined,PLA2G15,,0.020431576,0.13921462,0.291373183,0.376948926,0.088705371,0.083326324,0.076980372,0.151520004,0.338355533,0.303806682,0.080015528,0.049321882,0.06409585,0.120000101,0.353189993,0.327335099,0.080097044,0.055281912,,0.00260911,0.008959805,0.075017523,0.002080753,0.003705381,0.002013092,0.852236102,0.003884917,0.0031177,0.043593524,0.002782093,Q8NCC3, ,PLA2G15,0.852,Lysosome,no,Lysosome,High
Q9Y5W9,undefined,SNX11,,0.049506177,0.133125011,0.357252704,0.373806025,0.052673735,0.033636348,0.042909922,0.121442296,0.316779181,0.345109162,0.04712609,0.126633348,0.052431174,0.134758333,0.28324887,0.373953608,0.092306453,0.063301562,,0.003352558,0.009292069,0.095465087,0.002670159,0.004615252,0.0050643,0.851664915,0.00712265,0.003918025,0.013355542,0.003479442,Q9Y5W9, ,SNX11,0.852,Lysosome,no,Lysosome,High
P16278,Lysosome,GLB1,,0.021020699,0.122094248,0.431468493,0.340453842,0.062135826,0.022826892,0.018783631,0.110354086,0.450390678,0.328012291,0.064522925,0.027936389,0.021567668,0.109617685,0.444293345,0.332163644,0.067347599,0.02501006,,0.004650609,0.008562451,0.087114777,0.004994498,0.007945374,0.009015846,0.842171725,0.011190091,0.004454317,0.014291415,0.005608896,P16278,Lysosome,GLB1,0.842,Lysosome,no,Lysosome,High
O43504,Lysosome,LAMTOR5,,0.021382774,0.081384117,0.304136182,0.389702299,0.12559425,0.077800379,0.025373161,0.092348989,0.339360313,0.345286073,0.117834179,0.079797286,0.029731658,0.090545142,0.345513778,0.289933301,0.155695933,0.08858019,,0.003647153,0.002722285,0.11927717,0.004064931,0.006138096,0.006123342,0.84011998,0.007544436,0.003801792,0.003752858,0.002807957,O43504,Lysosome,LAMTOR5,0.840,Lysosome,no,Lysosome,High
Q92820,Lysosome,GGH,,0.044634038,0.130246003,0.38427779,0.320857618,0.07884863,0.041135922,0.037262481,0.145362089,0.386105884,0.314295578,0.074738036,0.042235933,0.036441628,0.130931493,0.39619351,0.313219051,0.083377895,0.039836423,,0.002280603,0.017996372,0.047415915,0.002074759,0.003276291,0.002457031,0.839240362,0.003000212,0.002573282,0.077278528,0.002406646,Q92820,Lysosome,GGH,0.839,Lysosome,no,Lysosome,High
Q8WWB7,Lysosome,GLMP,,0,0.096120267,0.395234253,0.343211548,0.108224803,0.057209128,0,0.068372615,0.395160634,0.374056719,0.120616432,0.0417936,0.179090204,0.085569337,0.301395425,0.289336342,0.105435334,0.039173358,,0.00446408,0.007492839,0.091661276,0.005061737,0.009543268,0.009313771,0.838628994,0.011963931,0.004349543,0.011668181,0.00585238,Q8WWB7,Lysosome,GLMP,0.839,Lysosome,no,Lysosome,High
Q9NS93,undefined,TM7SF3,,0.021147037,0.107594023,0.455329432,0.305730233,0.072322105,0.03787717,0.039360309,0.120387116,0.357985281,0.342313984,0.092962347,0.046990963,0.051788804,0.121733138,0.449554353,0.262464432,0.083239491,0.031219783,,0.003872322,0.015028734,0.087900808,0.003919907,0.006578155,0.007056065,0.836413584,0.008203235,0.003978739,0.021953005,0.005095445,Q9NS93, ,TM7SF3,0.836,Lysosome,no,Lysosome,High
Q15075,Endosome,EEA1,,0.041905567,0.069619412,0.384762401,0.347473548,0.111987194,0.044251878,0.035044164,0.066585226,0.405000072,0.350389036,0.100025116,0.042956386,0.033377593,0.095700559,0.430272226,0.319689393,0.084890724,0.036069505,,0.004443632,0.00405013,0.115538435,0.00409574,0.007552775,0.007394496,0.832310076,0.010363249,0.004286763,0.005894562,0.004070143,Q15075,Endosome,EEA1,0.832,Lysosome,no,Lysosome,High
Q6IAA8,Lysosome,LAMTOR1,,0.015618701,0.091117704,0.34855235,0.342419262,0.125345848,0.076946136,0.017972612,0.092588246,0.331670032,0.351604563,0.117127464,0.089037083,0.018025351,0.092739126,0.345694821,0.346517356,0.126206411,0.070816935,,0.003346064,0.002446279,0.134480824,0.003414227,0.005369375,0.00540915,0.82947821,0.006266027,0.003482101,0.003754385,0.002553357,Q6IAA8,Lysosome,LAMTOR1,0.829,Lysosome,no,Lysosome,High
Q86T03,undefined,PIP4P1,,0.029816641,0.095368523,0.339771537,0.336671634,0.095880007,0.102491658,0.028134919,0.11689709,0.325307594,0.323328697,0.130564927,0.075766775,0.024960227,0.09044147,0.369868584,0.309248214,0.12864261,0.076838896,,0.002643514,0.002512652,0.141660721,0.002937909,0.00412534,0.003625533,0.828661055,0.003903968,0.002938025,0.005012488,0.001978794,Q86T03, ,PIP4P1,0.829,Lysosome,no,Lysosome,High
P06280,Lysosome,GLA,,0.032970383,0.135894839,0.345653044,0.312569977,0.074647824,0.098263934,0.038134214,0.142435067,0.36313247,0.292720783,0.111879738,0.051697728,0.026499255,0.143637225,0.393010461,0.311603212,0.080264306,0.044985542,,0.002673145,0.017046282,0.076226142,0.002592239,0.004471296,0.00341354,0.822149612,0.003825153,0.003085767,0.060742437,0.003774387,P06280,Lysosome,GLA,0.822,Lysosome,no,Lysosome,High
Q9HB90;Q9NQL2-2;Q9NQL2,undefined,RRAGC;RRAGD,,0.049321815,0.123720172,0.373660168,0.314359252,0.094286311,0.044652283,0.054720514,0.113475192,0.352932111,0.32327465,0.097686343,0.05791119,0.060541049,0.142475053,0.37511685,0.291876963,0.082530168,0.047459916,,0.001902262,0.0205851,0.078776623,0.001830787,0.002702482,0.001912014,0.82177104,0.002306617,0.002209185,0.06332609,0.0026778,Q9HB90;Q9NQL2-2;Q9NQL2, ,RRAGC;RRAGD,0.822,Lysosome,no,Lysosome,High
